Date,SP500,DOWJONES,NASDAQ,RUSSELL,SQ,SQVOL
2018-03-01,2677.67,24608.98,7180.56,1507.39,46.01,17570500.00
2018-03-02,2691.25,24538.06,7257.87,1533.17,46.02,11010500.00
2018-03-05,2720.94,24874.76,7330.71,1546.05,50.42,30623200.00
2018-03-06,2728.12,24884.12,7372.01,1562.20,49.60,20827200.00
2018-03-07,2726.80,24801.36,7396.65,1574.53,50.72,18318000.00
2018-03-08,2738.97,24895.21,7427.95,1571.97,52.25,16961300.00
2018-03-09,2786.57,25335.74,7560.81,1597.14,52.49,11545300.00
2018-03-12,2783.02,25178.61,7588.32,1601.06,53.19,12482100.00
2018-03-13,2765.31,25007.03,7511.01,1592.05,51.83,13500400.00
2018-03-14,2749.48,24758.12,7496.81,1584.31,54.61,22043000.00
2018-03-15,2747.33,24873.66,7481.74,1576.62,54.84,13391000.00
2018-03-16,2752.01,24946.51,7481.99,1586.05,54.89,10818300.00
2018-03-19,2712.92,24610.91,7344.24,1570.56,54.58,16600600.00
2018-03-20,2716.94,24727.27,7364.30,1570.41,57.69,17238200.00
2018-03-21,2711.93,24682.31,7345.29,1579.30,57.09,13534300.00
2018-03-22,2643.69,23957.89,7166.68,1543.87,55.16,15704100.00
2018-03-23,2588.26,23533.20,6992.67,1510.08,51.67,20521900.00
2018-03-26,2658.55,24202.60,7220.54,1543.72,53.55,11332700.00
2018-03-27,2612.62,23857.71,7008.81,1513.57,51.06,13509300.00
2018-03-28,2605.00,23848.42,6949.23,1513.03,47.39,27553900.00
2018-03-29,2640.87,24103.11,7063.45,1529.43,49.20,18350500.00
2018-04-02,2581.88,23644.19,6870.12,1492.53,47.68,11918400.00
2018-04-03,2614.45,24033.36,6941.28,1512.15,47.58,9794600.00
2018-04-04,2644.69,24264.30,7042.11,1531.66,47.67,10540100.00
2018-04-05,2662.84,24505.22,7076.55,1542.93,48.02,9375200.00
2018-04-06,2604.47,23932.76,6915.11,1513.30,45.87,14184800.00
2018-04-09,2613.16,23979.10,6950.34,1514.46,45.89,8445300.00
2018-04-10,2656.87,24408.00,7094.30,1543.43,47.80,8701500.00
2018-04-11,2642.19,24189.45,7069.03,1546.80,47.76,7832300.00
2018-04-12,2663.99,24483.05,7140.25,1557.33,49.69,10479900.00
2018-04-13,2656.30,24360.14,7106.65,1549.51,47.50,11286200.00
2018-04-16,2677.84,24573.04,7156.28,1563.03,47.03,7414700.00
2018-04-17,2706.39,24786.63,7281.10,1579.80,49.13,8250200.00
2018-04-18,2708.64,24748.07,7295.24,1583.56,51.38,11145500.00
2018-04-19,2693.13,24664.89,7238.06,1573.82,50.63,8926400.00
2018-04-20,2670.14,24462.94,7146.13,1564.12,51.46,9079200.00
2018-04-23,2670.29,24448.69,7128.60,1562.12,50.35,7092100.00
2018-04-24,2634.56,24024.13,7007.35,1553.28,46.01,18383900.00
2018-04-25,2639.40,24083.83,7003.74,1550.47,44.75,15914400.00
2018-04-26,2666.94,24322.34,7118.68,1557.89,46.74,10236800.00
2018-04-27,2669.91,24311.19,7119.80,1556.24,47.57,10176400.00
2018-04-30,2648.05,24163.15,7066.27,1541.88,47.34,16758000.00
2018-05-01,2654.80,24099.05,7130.70,1550.33,48.20,7670000.00
2018-05-02,2635.67,23924.98,7100.90,1554.91,48.66,18113300.00
2018-05-03,2629.73,23930.15,7088.15,1546.56,49.21,20472800.00
2018-05-04,2663.42,24262.51,7209.62,1565.60,49.10,10442100.00
2018-05-07,2672.63,24357.32,7265.21,1578.95,51.12,13758900.00
2018-05-08,2671.92,24360.21,7266.90,1586.39,53.32,18013400.00
2018-05-09,2697.79,24542.54,7339.91,1596.05,54.26,12653500.00
2018-05-10,2723.07,24739.53,7404.97,1603.71,54.65,10628800.00
2018-05-11,2727.72,24831.17,7402.88,1606.79,54.73,7470500.00
2018-05-14,2730.13,24899.41,7411.32,1600.34,54.28,10681900.00
2018-05-15,2711.45,24706.41,7351.63,1600.34,54.65,7653600.00
2018-05-16,2722.46,24768.93,7398.30,1616.37,56.59,10878800.00
2018-05-17,2720.13,24713.98,7382.47,1625.29,54.82,14528400.00
2018-05-18,2712.97,24715.09,7354.34,1626.63,55.04,10012200.00
2018-05-21,2733.01,25013.29,7394.04,1637.44,56.39,8228800.00
2018-05-22,2724.44,24834.41,7378.46,1625.24,54.63,9693800.00
2018-05-23,2733.29,24886.81,7425.96,1627.61,55.09,9492000.00
2018-05-24,2727.76,24811.76,7424.43,1628.22,55.55,7504900.00
2018-05-25,2721.33,24753.09,7433.85,1626.93,55.77,5509700.00
2018-05-29,2689.86,24361.45,7396.59,1623.65,56.92,10229300.00
2018-05-30,2724.01,24667.78,7462.45,1647.99,57.91,9457000.00
2018-05-31,2705.27,24415.84,7442.12,1633.61,58.25,7980900.00
2018-06-01,2734.62,24635.21,7554.33,1647.98,59.41,10457500.00
2018-06-04,2746.87,24813.69,7606.46,1653.37,61.20,10688400.00
2018-06-05,2748.80,24799.98,7637.86,1664.63,61.57,8752800.00
2018-06-06,2772.35,25146.39,7689.24,1675.95,62.72,8590900.00
2018-06-07,2770.37,25241.41,7635.07,1667.77,60.67,14474600.00
2018-06-08,2779.03,25316.53,7645.51,1672.49,61.78,8300900.00
2018-06-11,2782.00,25322.31,7659.93,1674.68,61.29,6048000.00
2018-06-12,2786.85,25320.73,7703.79,1682.30,63.21,9585600.00
2018-06-13,2775.63,25201.20,7695.70,1676.54,62.50,11262000.00
2018-06-14,2782.49,25175.31,7761.04,1684.72,63.88,11913100.00
2018-06-15,2779.66,25090.48,7746.38,1683.91,64.48,7904400.00
2018-06-18,2773.75,24987.47,7747.03,1692.46,66.20,10488300.00
2018-06-19,2762.59,24700.21,7725.59,1693.45,65.96,9504500.00
2018-06-20,2767.32,24657.80,7781.51,1706.99,67.59,12382500.00
2018-06-21,2749.76,24461.70,7712.95,1688.95,67.10,9999500.00
2018-06-22,2754.88,24580.89,7692.82,1685.58,65.75,10778400.00
2018-06-25,2717.07,24252.80,7532.01,1657.51,61.89,15115400.00
2018-06-26,2723.06,24283.11,7561.63,1668.53,62.55,13168900.00
2018-06-27,2699.63,24117.59,7445.08,1640.45,60.09,11139700.00
2018-06-28,2716.31,24216.05,7503.68,1645.02,61.55,11836900.00
2018-06-29,2718.37,24271.41,7510.30,1643.07,61.64,6759300.00
2018-07-02,2726.71,24307.18,7567.69,1655.09,63.14,5427100.00
2018-07-03,2713.22,24174.82,7502.67,1660.42,61.75,4234700.00
2018-07-05,2736.61,24356.74,7586.43,1679.48,64.15,7671000.00
2018-07-06,2759.82,24456.48,7688.39,1694.05,66.44,10441600.00
2018-07-09,2784.17,24776.59,7756.20,1704.60,66.48,9067800.00
2018-07-10,2793.84,24919.66,7759.20,1695.62,64.76,9162700.00
2018-07-11,2774.02,24700.45,7716.61,1683.66,65.33,5857100.00
2018-07-12,2798.29,24924.89,7823.92,1690.28,67.28,8927300.00
2018-07-13,2801.31,25019.41,7825.98,1687.08,66.97,7686000.00
2018-07-16,2798.43,25064.36,7805.72,1678.54,66.95,5407900.00
2018-07-17,2809.55,25119.89,7855.12,1687.26,68.33,6293100.00
2018-07-18,2815.62,25199.29,7854.44,1691.87,68.29,4913100.00
2018-07-19,2804.49,25064.50,7825.30,1701.31,70.32,11981300.00
2018-07-20,2801.83,25058.12,7820.20,1696.81,70.41,9262800.00
2018-07-23,2806.98,25044.29,7841.87,1698.41,71.60,7059700.00
2018-07-24,2820.40,25241.94,7840.77,1680.20,69.36,12188100.00
2018-07-25,2846.07,25414.10,7932.24,1685.20,72.53,8286200.00
2018-07-26,2837.44,25527.07,7852.18,1695.36,71.99,6744500.00
2018-07-27,2818.82,25451.06,7737.42,1663.34,69.85,8687200.00
2018-07-30,2802.60,25306.83,7630.00,1653.13,65.62,13599000.00
2018-07-31,2816.29,25415.19,7671.79,1670.80,64.65,10692300.00
2018-08-01,2813.36,25333.82,7707.29,1669.26,66.86,11990400.00
2018-08-02,2827.22,25326.16,7802.69,1682.10,72.65,20831900.00
2018-08-03,2840.35,25462.58,7812.01,1673.37,68.36,14949000.00
2018-08-06,2850.40,25502.18,7859.68,1684.31,70.92,10876000.00
2018-08-07,2858.45,25628.91,7883.66,1688.30,71.00,6589700.00
2018-08-08,2857.70,25583.75,7888.33,1686.88,70.82,5006400.00
2018-08-09,2853.58,25509.23,7891.78,1690.89,69.38,6300800.00
2018-08-10,2833.28,25313.14,7839.11,1686.80,70.60,13371600.00
2018-08-13,2821.93,25187.70,7819.71,1675.32,72.37,13082400.00
2018-08-14,2839.96,25299.92,7870.89,1692.58,74.97,10883300.00
2018-08-15,2818.37,25162.41,7774.12,1670.67,72.24,13050900.00
2018-08-16,2840.69,25558.73,7806.52,1685.75,72.76,8175200.00
2018-08-17,2850.13,25669.32,7816.33,1692.95,72.90,5561400.00
2018-08-20,2857.05,25758.69,7821.01,1698.69,74.26,7076700.00
2018-08-21,2862.96,25822.29,7859.17,1718.05,75.19,8587800.00
2018-08-22,2861.82,25733.60,7889.10,1722.54,76.44,6827800.00
2018-08-23,2856.98,25656.98,7878.46,1717.05,77.12,7721700.00
2018-08-24,2874.69,25790.35,7945.98,1725.67,78.18,7050600.00
2018-08-27,2896.74,26049.64,8017.90,1728.41,78.25,8257200.00
2018-08-28,2897.52,26064.02,8030.04,1728.42,80.80,11452000.00
2018-08-29,2914.04,26124.57,8109.69,1734.75,85.70,22484700.00
2018-08-30,2901.13,25986.92,8088.36,1732.35,87.76,20083800.00
2018-08-31,2901.52,25964.82,8109.54,1740.75,88.64,11165100.00
2018-09-04,2896.72,25952.48,8091.25,1733.38,91.25,13753200.00
2018-09-05,2888.60,25974.99,7995.17,1727.65,87.20,18020900.00
2018-09-06,2878.05,25995.87,7922.73,1714.47,88.54,12523600.00
2018-09-07,2871.68,25916.54,7902.54,1713.18,89.97,10503800.00
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
